time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-01-20 00:00:00,6.5,4,84,0,,360,3.6,20.4,1023,,1
2025-01-20 01:00:00,5,3,87,0,,0,0,14.8,1022,,1
2025-01-20 02:00:00,5,2,81,0,,130,5.4,14.8,1022,,4
2025-01-20 03:00:00,4.8,3,88,0,,0,0,16.7,1023.1,,1
2025-01-20 04:00:00,3,1.1,87,0,,10,5.4,18.5,1022,,1
2025-01-20 05:00:00,7,3.1,76,0,,20,14.8,20.4,1021,,1
2025-01-20 06:00:00,7,2.7,74,0,,40,13,22.2,1022.5,,1
2025-01-20 07:00:00,7,1.9,70,0,,20,14.8,24.1,1021,,1
2025-01-20 08:00:00,7,1.9,70,0,,40,13,24.1,1022,,4
2025-01-20 09:00:00,6.7,2.6,75,0,0,10,18.4,24.1,1023.2,,1
2025-01-20 10:00:00,8,3.1,71,0,,20,13,27.8,1022,,1
2025-01-20 11:00:00,11,4,62,0,,10,18.4,29.6,1022,,1
2025-01-20 12:00:00,12.1,4.1,58,0,,10,16.6,31.5,1022.7,,1
2025-01-20 13:00:00,13,3.9,54,0,,340,16.6,29.6,1020,,2
2025-01-20 14:00:00,14,4,51,0,,350,22.3,33.3,1020,,2
2025-01-20 15:00:00,14.2,4.8,53,0,,360,25.9,35.2,1020.6,,2
2025-01-20 16:00:00,14,4,51,0,,350,20.5,35.2,1020,,2
2025-01-20 17:00:00,14,4,51,0,,360,16.6,37,1020,,2
2025-01-20 18:00:00,12.7,3.6,54,0,,360,25.9,33.3,1021.1,,2
2025-01-20 19:00:00,11,4,62,0,,20,20.5,29.6,1020,,3
2025-01-20 20:00:00,10,3.9,66,0,,10,18.4,24.1,1020,,4
2025-01-20 21:00:00,9.2,3.6,68,0,,350,7.6,20.4,1021.5,,3
2025-01-20 22:00:00,7,4,81,0,,230,3.6,14.8,1020,,2
2025-01-20 23:00:00,8,4,76,0,,130,3.6,14.8,1020,,2
